orig_pc,orig_pc_part,orig_instruction,is_conditional_branch,is_computed_jump,is_constant_jump,srcA,srcB,dst,is_memory_read,is_memory_write,mem_addr,branch_taken
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,Y
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,N
54,0,,N,N,N,3,8,8,N,N,,
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,N
69,0,,N,N,N,3,9,9,N,N,,
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,Y
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,N
54,0,,N,N,N,3,8,8,N,N,,
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,N
69,0,,N,N,N,3,9,9,N,N,,
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,Y
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,N
54,0,,N,N,N,3,8,8,N,N,,
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,Y
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,N
54,0,,N,N,N,3,8,8,N,N,,
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,Y
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,N
54,0,,N,N,N,3,8,8,N,N,,
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,N
69,0,,N,N,N,3,9,9,N,N,,
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,Y
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,N
54,0,,N,N,N,3,8,8,N,N,,
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,N
69,0,,N,N,N,3,9,9,N,N,,
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,Y
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,N
54,0,,N,N,N,3,8,8,N,N,,
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,Y
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,N
54,0,,N,N,N,3,8,8,N,N,,
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,Y
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,N
54,0,,N,N,N,3,8,8,N,N,,
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,N
69,0,,N,N,N,3,9,9,N,N,,
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,Y
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,N
54,0,,N,N,N,3,8,8,N,N,,
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,N
69,0,,N,N,N,3,9,9,N,N,,
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,Y
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,N
54,0,,N,N,N,3,8,8,N,N,,
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,Y
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,N
54,0,,N,N,N,3,8,8,N,N,,
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,Y
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,N
54,0,,N,N,N,3,8,8,N,N,,
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,N
69,0,,N,N,N,3,9,9,N,N,,
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,Y
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,N
54,0,,N,N,N,3,8,8,N,N,,
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,N
69,0,,N,N,N,3,9,9,N,N,,
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,Y
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,N
54,0,,N,N,N,3,8,8,N,N,,
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,Y
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,N
54,0,,N,N,N,3,8,8,N,N,,
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,Y
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,N
54,0,,N,N,N,3,8,8,N,N,,
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,N
69,0,,N,N,N,3,9,9,N,N,,
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,Y
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,N
54,0,,N,N,N,3,8,8,N,N,,
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,N
69,0,,N,N,N,3,9,9,N,N,,
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,Y
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,N
54,0,,N,N,N,3,8,8,N,N,,
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,Y
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,N
54,0,,N,N,N,3,8,8,N,N,,
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,Y
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,N
54,0,,N,N,N,3,8,8,N,N,,
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,N
69,0,,N,N,N,3,9,9,N,N,,
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,N
41,0,,N,N,N,3,,1,N,N,,
43,0,,N,N,N,0,1,1,N,N,,
45,0,,Y,N,N,,,,N,N,,Y
56,0,,N,N,N,2,,1,N,N,,
58,0,,N,N,N,0,1,1,N,N,,
60,0,,Y,N,N,,,,N,N,,Y
71,0,,N,N,N,3,0,0,N,N,,
73,0,,Y,N,N,,,,N,N,,Y
30,0,,N,N,N,0,0,0,N,N,,
32,0,,Y,N,N,,,,N,N,,Y
82,0,,N,N,N,,,,N,N,,
